,geneID,geneName,gamma,n_reads,n_reads_phasable,n_snvs,alpha_hat,alpha_hat_low,alpha_hat_high,major_hap,ll_alt,ll_null,lrt_stat,p_value,chi2_isoform,df_isoform,p_value_isoform,p_value_isoform_low,p_value_isoform_high,CellType,p_value_gene_adj,p_value_isoform_adj,p_value_isoform_adj_high,p_value_isoform_adj_low
0,ENSG00000239713,APOBEC3G,0.419774011299435,101,46,3,0.4196936285826179,0.1911475932158457,0.7357020486613903,A,-166.9081162951202,-167.48597015609965,1.1557077219588905,0.2823575031062516,29.65053209974398,6,4.580063355374975e-05,4.580063355374975e-05,0.0002627771688719,B cells,0.4486327462755105,0.00022900316776874874,0.0013138858443594997,9.16012671074995e-05
1,ENSG00000239713,APOBEC3G,0.419774011299435,590,348,3,0.2721273756317474,0.1605090283387255,0.5706785198641492,A,-1041.4245250148442,-1078.1503991331324,73.45174823657635,1.0312661651647579e-17,157.0384609619831,4,0.0,0.0,0.0,Bulk,1.0312661651647579e-16,0.0,0.0,0.0
2,ENSG00000239713,APOBEC3G,0.419774011299435,175,95,3,0.317113589298361,0.1721473770476816,0.6292902341905389,A,-284.50561074249663,-290.8764721508828,12.741722816772269,0.0003575881546163,36.2237460343279,4,2.602655837513624e-07,2.602655837513624e-07,1.97346334851467e-06,Monocytes,0.0017879407730814999,1.3013279187568119e-06,9.867316742573351e-06,5.205311675027248e-07
3,ENSG00000239713,APOBEC3G,0.419774011299435,137,83,3,0.2816312041937024,0.170623284292535,0.5647838682341408,A,-253.27598429783416,-261.224080718189,15.89619284070966,6.69131827027489e-05,42.30796339312453,4,1.4401053793910991e-08,1.4401053793910991e-08,1.8481842745110557e-06,NK cells,0.0006691318270274889,1.440105379391099e-07,1.8481842745110555e-05,7.200526896955495e-08
4,ENSG00000239713,APOBEC3G,0.419774011299435,41,29,3,0.1724103226093499,0.1219487647724668,0.4146316916017354,A,-75.22773651579926,-81.99798441366397,13.540495795729411,0.0002334707107345,10.937545799308635,3,0.0120684273771609,0.0120684273771609,0.024763781080867,"T cells, CD4+",0.0011673535536724999,0.0603421368858045,0.12381890540433499,0.017240610538801285
5,ENSG00000239713,APOBEC3G,0.419774011299435,9,3,3,0.3333373404127637,0.1111124468042545,0.7777791134709212,B,-8.468769628641496,-8.638656641003696,0.3397740247243987,0.5599596881690794,0.0,1,1.0,0.1562498518637398,1.0,"T cells, CD8+",0.7999424116701135,1.0,1.0,0.3124997037274796
6,ENSG00000025770,NCAPH2,0.9699848844741956,144,25,4,0.3199907673202593,0.0555539526597672,0.8819428415486561,B,-50.92025404485009,-52.57725850018887,3.3140089106775577,0.0686917281892248,15.527798547143709,5,0.0083298764230755,8.474931254554008e-07,0.6105051803162891,B cells,0.228972427297416,0.027766254743585,0.998667408214722,4.0839775291197835e-06
7,ENSG00000025770,NCAPH2,0.9699848844741956,4631,287,4,0.4851320541424787,0.0300654069399463,0.9680917511420624,B,-611.951985667847,-612.077299738912,0.2506281421299263,0.6166331301891588,55.53705838612048,3,5.273892433876881e-12,0.0,0.999727377355516,Bulk,0.6851479224323986,1.757964144625627e-11,0.9999270025451948,0.0
8,ENSG00000025770,NCAPH2,0.9699848844741956,4125,199,4,0.4979334309039513,0.0240215158181542,0.97577909157573,B,-420.4577610207394,-420.4594477441488,0.0033734468187276,0.9536838051638016,21.18076770624263,2,2.515676143743928e-05,0.0,0.9959651534761912,Monocytes,0.9536838051638016,8.385587145813093e-05,0.9959651534761912,0.0
9,ENSG00000025770,NCAPH2,0.9699848844741956,49,9,4,0.2225670232036619,0.0408796573231215,0.8572061879353664,B,-16.690790701107346,-18.154030866630865,2.9264803310470384,0.087137272057087,3.176857592489758,5,0.6727408737745221,0.0151209860490273,0.9847157828515914,NK cells,0.435686360285435,0.8045044443626505,0.9989644657424586,0.03780246512256825
